iter	Passed	Remaining
400	25936	6403
401	26012	6341
402	26084	6278
403	26094	6200
404	26162	6136
405	26236	6074
406	26316	6013
407	26384	5949
408	26456	5886
409	26532	5824
410	26557	5750
411	26624	5686
412	26634	5610
413	26711	5548
414	26790	5487
415	26857	5423
416	26930	5360
417	27002	5297
418	27018	5223
419	27092	5160
420	27160	5096
421	27169	5021
422	27238	4958
423	27320	4897
424	27398	4834
425	27475	4772
426	27548	4709
427	27560	4636
428	27633	4573
429	27714	4511
430	27792	4449
431	27871	4387
432	27940	4323
433	28008	4259
434	28077	4195
435	28151	4132
436	28164	4060
437	28237	3997
438	28303	3932
439	28380	3870
440	28449	3806
441	28526	3743
442	28602	3680
443	28677	3616
444	28686	3545
445	28762	3482
446	28774	3411
447	28783	3340
448	28857	3277
449	28941	3215
450	29021	3153
451	29095	3089
452	29167	3026
453	29176	2956
454	29255	2893
455	29337	2830
456	29403	2766
457	29412	2697
458	29492	2634
459	29566	2570
460	29648	2508
461	29727	2445
462	29808	2382
463	29890	2319
464	29978	2256
465	29995	2188
466	30071	2124
467	30083	2056
468	30166	1993
469	30250	1930
470	30321	1866
471	30402	1803
472	30485	1740
473	30569	1676
474	30654	1613
475	30672	1546
476	30733	1481
477	30805	1417
478	30880	1353
479	30958	1289
480	31040	1226
481	31048	1159
482	31127	1095
483	31204	1031
484	31279	967
485	31353	903
486	31432	839
487	31444	773
488	31511	708
489	31574	644
490	31656	580
491	31734	516
492	31800	451
493	31880	387
494	31948	322
495	32031	258
496	32105	193
497	32182	129
498	32251	64
499	32326	0
