iter	Accuracy	Logloss
227	0.8164040032	0.4067885083
228	0.8169791786	0.4065742259
229	0.8172092488	0.4063200716
230	0.8176693892	0.4060712762
231	0.8176693892	0.405889619
232	0.8175543541	0.4054825994
233	0.8176693892	0.4052371811
234	0.8176693892	0.4051763172
235	0.8176693892	0.4050723359
236	0.8177844242	0.4047771334
237	0.8175543541	0.4046428197
238	0.8180144944	0.4043931978
239	0.8180144944	0.4041340803
240	0.8177844242	0.4040054141
241	0.8176693892	0.4039757511
242	0.8177844242	0.4036996611
243	0.8184746348	0.4034072507
244	0.81881974	0.4032274379
245	0.8189347751	0.4030109857
246	0.8190498102	0.4027071362
247	0.8190498102	0.4026769266
248	0.8185896698	0.4024591375
249	0.81881974	0.4022416353
250	0.81881974	0.4020612301
251	0.8190498102	0.4018104338
252	0.8191648453	0.40175482
253	0.8190498102	0.4015543714
254	0.8190498102	0.4013563711
255	0.81881974	0.4013042167
256	0.8190498102	0.4010677528
257	0.81881974	0.4008234799
258	0.8184746348	0.4006290327
259	0.8187047049	0.4004479923
260	0.8185896698	0.4002656932
261	0.81881974	0.4000441175
262	0.8189347751	0.3998116279
263	0.8189347751	0.3995651538
264	0.8189347751	0.3993918069
265	0.8192798804	0.3991827283
266	0.8196249856	0.398878535
267	0.8195099505	0.3987210239
268	0.8196249856	0.3985530651
269	0.8197400207	0.3984959691
270	0.8197400207	0.3982458267
271	0.8199700909	0.3979801716
272	0.8204302312	0.3978201596
273	0.820085126	0.3976417937
274	0.820085126	0.3976061845
275	0.8203151961	0.3974652487
276	0.8204302312	0.3972186273
277	0.8203151961	0.3969403053
278	0.8207753365	0.3967491328
279	0.8205452663	0.3965638222
280	0.8205452663	0.3963793744
281	0.8211204417	0.3961535655
282	0.8211204417	0.3958764561
283	0.8208903716	0.3955887698
284	0.8210054066	0.3954269708
285	0.8211204417	0.3952859057
286	0.8208903716	0.394910154
287	0.8210054066	0.3948667087
288	0.8208903716	0.3948457534
289	0.821465547	0.3946919177
290	0.8215805821	0.3945398645
291	0.8213505119	0.3945199767
292	0.8215805821	0.394295385
293	0.8213505119	0.3941164956
294	0.821465547	0.3939841468
295	0.8216956172	0.3938223452
296	0.8218106522	0.3936282532
297	0.8218106522	0.3934750817
298	0.8219256873	0.3933029489
299	0.8218106522	0.3931592678
300	0.8219256873	0.3929904202
301	0.8218106522	0.392829307
302	0.8221557575	0.3926827585
303	0.8220407224	0.3924354652
304	0.8222707926	0.3922830525
305	0.8225008628	0.3919537978
306	0.8226158978	0.3917084413
307	0.8226158978	0.391579917
308	0.8225008628	0.3914453796
309	0.8227309329	0.3914150307
310	0.822845968	0.3912696066
311	0.8229610031	0.3911300153
312	0.8229610031	0.3910221333
313	0.8227309329	0.3908141347
314	0.8226158978	0.3906470582
315	0.8229610031	0.3905458113
316	0.8231910733	0.3903593281
317	0.8235361785	0.3901013951
318	0.8236512136	0.3899774908
319	0.8239963189	0.3898650767
320	0.8238812838	0.3897598935
321	0.8239963189	0.3897312052
322	0.8237662487	0.3895413201
323	0.8237662487	0.3893790823
324	0.8235361785	0.3892466867
325	0.8236512136	0.3890913354
326	0.8235361785	0.3889729038
327	0.8237662487	0.3888672558
328	0.8237662487	0.3887160296
329	0.8239963189	0.3885778082
330	0.8238812838	0.3884551474
331	0.8238812838	0.3884440355
332	0.824226389	0.388255956
333	0.824226389	0.3880431366
334	0.824111354	0.3878664046
335	0.824226389	0.3877533376
336	0.8239963189	0.3876763103
337	0.8243414241	0.3875090704
338	0.8243414241	0.3874738183
339	0.8246865294	0.3872430504
340	0.8246865294	0.3872094397
341	0.8246865294	0.3871781498
342	0.8244564592	0.3869619801
343	0.8246865294	0.3868212917
344	0.8249165996	0.3866670447
345	0.8251466697	0.3865224065
346	0.8251466697	0.3864078467
347	0.8251466697	0.3862286366
348	0.8250316346	0.3861126086
349	0.8251466697	0.3860069182
350	0.8249165996	0.3858968119
351	0.8251466697	0.3857026478
352	0.8251466697	0.3856424433
353	0.8252617048	0.3854116171
354	0.8252617048	0.3854010207
355	0.8253767399	0.385377387
356	0.8256068101	0.3852026659
357	0.8251466697	0.3850590387
358	0.8252617048	0.3849261595
359	0.8253767399	0.3847890457
360	0.825491775	0.3846919387
361	0.825491775	0.3845703253
362	0.8256068101	0.3845243607
363	0.8256068101	0.384419785
364	0.8252617048	0.3843315635
365	0.825491775	0.3842347358
366	0.8257218452	0.3840268984
367	0.8260669504	0.3837114554
368	0.8262970206	0.3835361773
369	0.8262970206	0.3833318157
370	0.8264120557	0.3831254412
371	0.8265270908	0.3830163521
372	0.8264120557	0.3829161966
373	0.8267571609	0.3827274801
374	0.8267571609	0.3826171345
375	0.826872196	0.3824767795
376	0.826872196	0.3824077486
377	0.826872196	0.3822480471
378	0.8267571609	0.3822313605
379	0.8267571609	0.3820987953
380	0.8267571609	0.3820713959
381	0.8267571609	0.3820122452
382	0.8267571609	0.3818442619
383	0.8267571609	0.381471104
384	0.8267571609	0.3814463354
385	0.8267571609	0.3814278471
386	0.8265270908	0.3813535011
387	0.8265270908	0.3812386843
388	0.826872196	0.3810748637
389	0.8267571609	0.3809770195
390	0.8266421258	0.3808508563
391	0.8266421258	0.380813056
392	0.826872196	0.3807518118
393	0.8267571609	0.3806743364
394	0.8269872311	0.3804509695
395	0.8272173013	0.3803730119
396	0.8272173013	0.380254011
397	0.8271022662	0.3799415182
398	0.8272173013	0.3798496456
399	0.8273323364	0.3797581806
400	0.8275624065	0.3795475963
401	0.8274473714	0.3794479111
402	0.8277924767	0.3792008455
403	0.8277924767	0.3791861
404	0.8277924767	0.3790846551
405	0.8279075118	0.3790154148
406	0.8279075118	0.3789672947
407	0.8279075118	0.3788025264
408	0.8279075118	0.3786387595
409	0.8279075118	0.3785512501
410	0.8279075118	0.3784941317
411	0.8279075118	0.3783332132
412	0.8279075118	0.3782976272
413	0.828252617	0.3781135564
414	0.828137582	0.3779887423
415	0.8280225469	0.3776488161
416	0.828137582	0.3775327076
417	0.8280225469	0.3772850813
418	0.8280225469	0.3772553827
419	0.828137582	0.3769765677
420	0.828252617	0.3766725372
421	0.828252617	0.3766724652
422	0.828137582	0.3765758101
423	0.828137582	0.3764321698
424	0.8283676521	0.3763454338
425	0.828252617	0.3762344106
426	0.828137582	0.3760277941
427	0.828137582	0.3760134798
428	0.828137582	0.3757961672
429	0.828137582	0.3757456522
430	0.8283676521	0.3756426682
431	0.8285977223	0.3755088261
432	0.8285977223	0.3754522726
433	0.8287127574	0.3753200449
434	0.8285977223	0.375165055
435	0.8285977223	0.3749858442
436	0.8285977223	0.3749726855
437	0.8287127574	0.3749204976
438	0.8288277925	0.3748441655
439	0.8288277925	0.3746569346
440	0.8290578626	0.3745854939
441	0.8289428276	0.3744215262
442	0.8289428276	0.3742989935
443	0.8292879328	0.3740760885
444	0.8292879328	0.3740656965
445	0.829518003	0.3738666406
446	0.829518003	0.3738356464
447	0.829518003	0.3738245192
448	0.8292879328	0.373666285
449	0.8294029679	0.3735499768
450	0.8303232486	0.3732557826
451	0.8304382837	0.3731126366
452	0.8304382837	0.3729986127
453	0.8304382837	0.3729922097
454	0.8307833889	0.372861631
455	0.8307833889	0.3727088264
456	0.8306683538	0.3726275305
457	0.8304382837	0.3726236506
458	0.8298631082	0.3723955644
459	0.8304382837	0.3721103892
460	0.8305533188	0.3720513837
461	0.8304382837	0.3719618783
462	0.8304382837	0.3718627838
463	0.8303232486	0.3717725138
464	0.8303232486	0.3716134956
465	0.8304382837	0.371568595
466	0.8306683538	0.3713615883
467	0.8306683538	0.3713301778
468	0.8307833889	0.3712026121
469	0.8310134591	0.3710841555
470	0.8312435293	0.3708965257
471	0.8311284942	0.3708191418
472	0.8312435293	0.3707075211
473	0.8312435293	0.3705978171
474	0.8312435293	0.3704641515
475	0.8311284942	0.3704111697
476	0.8313585644	0.3702615604
477	0.8314735994	0.3700657517
478	0.8317036696	0.369980425
479	0.83216381	0.369740957
480	0.83216381	0.3695495782
481	0.83216381	0.3695316145
482	0.83216381	0.3693546064
483	0.832278845	0.3692521063
484	0.8323938801	0.3691648577
485	0.8326239503	0.3690262659
486	0.8326239503	0.368877687
487	0.8326239503	0.3688665144
488	0.8325089152	0.3687840074
489	0.8327389854	0.3686720508
490	0.8326239503	0.3685762684
491	0.8327389854	0.3684748033
492	0.8328540205	0.3683894925
493	0.8328540205	0.3681739689
494	0.8329690556	0.3680085203
495	0.8330840906	0.3679046046
496	0.8330840906	0.3678204984
497	0.8333141608	0.3677186885
498	0.8330840906	0.3676379553
499	0.8331991257	0.3675037561
